experiment,horizon,max_observed_MAE_degradation_percent,level_at_max_degradation,mean_degradation_percent,std_degradation_percent
missingness,1,267.9844518208446,30,110.43192178469913,91.91532128925537
missingness,3,331.9338329697454,30,114.37855398902843,99.2555169432587
missingness,6,339.86941859024967,30,125.34901253268285,107.3056000485076
noise,1,26.409538174798254,high,9.79038560802157,9.54850631852684
noise,3,21.33855927817599,high,7.74359915499871,7.587791673679838
noise,6,18.130222534596566,high,6.981727353250252,6.822159039948612
small_sample,1,31.13155758099104,20,8.562391320678433,10.400167623697897
small_sample,3,23.85648925587628,20,7.425470156150099,7.635972449670391
small_sample,6,29.695004063954308,20,9.228882471238123,9.233939236264433
