horizon,prediction_file_count,unique_sample_set_hashes,unique_truth_set_hashes,common_samples_across_models_and_seeds,common_truth_across_models_and_seeds
1,35,1,1,True,True
3,35,1,1,True,True
6,35,1,1,True,True
