horizon,samples_checked,matches,mismatches,unrecomputable,max_absolute_difference,target_definition_verified
1,12265,12265,0,0,2.543131529364473e-06,True
3,11878,11878,0,0,3.390842024941776e-06,True
6,12166,12166,0,0,3.5603841155307236e-06,True
