sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
3706176,N036,2026-02-23 11:00:00,1,1,100.0,100.0,0.0,True
3706396,N036,2026-02-25 18:00:00,1,1,100.0,100.0,0.0,True
3706432,N036,2026-02-26 03:00:00,1,1,100.0,100.0,0.0,True
3811936,N037,2026-02-24 05:00:00,1,1,100.0,100.0,0.0,True
3812288,N037,2026-02-27 21:00:00,1,1,100.0,100.0,0.0,True
3917388,N038,2026-02-21 18:00:00,1,1,100.0,100.0,0.0,True
4022956,N039,2026-02-20 12:00:00,1,1,100.0,100.0,0.0,True
4234184,N041,2026-02-18 23:00:00,1,1,88.0,88.0,0.0,True
4234588,N041,2026-02-23 04:00:00,1,1,88.0,88.0,0.0,True
4234696,N041,2026-02-24 07:00:00,1,1,75.0,75.0,0.0,True
4340712,N042,2026-02-27 17:00:00,1,1,54.0,54.0,0.0,True
4445612,N043,2026-02-19 12:00:00,1,1,67.0,67.0,0.0,True
4445704,N043,2026-02-20 11:00:00,1,1,66.5,66.5,0.0,True
4551336,N044,2026-02-19 21:00:00,1,1,69.5,69.5,0.0,True
4551572,N044,2026-02-22 08:00:00,1,1,67.0,67.0,0.0,True
4551716,N044,2026-02-23 20:00:00,1,1,68.0,68.0,0.0,True
4657400,N045,2026-02-23 19:00:00,1,1,66.0,66.0,0.0,True
4763456,N046,2026-02-27 15:00:00,1,1,89.0,89.0,0.0,True
4763460,N046,2026-02-27 16:00:00,1,1,77.0,77.0,0.0,True
4868936,N047,2026-02-25 11:00:00,1,1,67.5,67.5,0.0,True
4974552,N048,2026-02-24 17:00:00,1,1,64.0,64.0,0.0,True
5079868,N049,2026-02-20 20:00:00,1,1,35.0,35.0,0.0,True
5080344,N049,2026-02-25 19:00:00,1,1,36.5,36.5,0.0,True
5185380,N050,2026-02-19 00:00:00,1,1,53.0,53.0,0.0,True
5185420,N050,2026-02-19 10:00:00,1,1,39.5,39.5,0.0,True
5185964,N050,2026-02-25 02:00:00,1,1,48.75,48.75,0.0,True
5291376,N051,2026-02-22 05:00:00,1,1,78.0,78.0,0.0,True
5291836,N051,2026-02-27 00:00:00,1,1,78.0,78.0,0.0,True
14396,N001,2026-02-20 04:00:00,3,3,90.0,90.0,0.0,True
120496,N002,2026-02-24 11:00:00,3,3,94.0,94.0,0.0,True
120612,N002,2026-02-25 16:00:00,3,3,94.0,94.0,0.0,True
225900,N003,2026-02-21 12:00:00,3,3,90.0,90.0,0.0,True
331720,N004,2026-02-22 21:00:00,3,3,90.0,90.0,0.0,True
331772,N004,2026-02-23 10:00:00,3,3,90.0,90.0,0.0,True
332244,N004,2026-02-28 08:00:00,3,3,90.0,90.0,0.0,True
437304,N005,2026-02-21 19:00:00,3,3,43.0,43.0,0.0,True
542900,N006,2026-02-20 20:00:00,3,3,90.0,90.0,0.0,True
542928,N006,2026-02-21 03:00:00,3,3,90.0,90.0,0.0,True
543548,N006,2026-02-27 14:00:00,3,3,90.0,90.0,0.0,True
648464,N007,2026-02-19 13:00:00,3,3,90.0,90.0,0.0,True
648960,N007,2026-02-24 17:00:00,3,3,90.0,90.0,0.0,True
649192,N007,2026-02-27 03:00:00,3,3,90.0,90.0,0.0,True
649248,N007,2026-02-27 17:00:00,3,3,90.0,90.0,0.0,True
754116,N008,2026-02-19 04:00:00,3,3,90.0,90.0,0.0,True
754464,N008,2026-02-22 19:00:00,3,3,90.0,90.0,0.0,True
966072,N010,2026-02-25 05:00:00,3,3,94.0,94.0,0.0,True
