prediction_file,model,horizon,seed,original_N,boundary_excluded_N,canonical_complete_hour_N,original_MAE,canonical_complete_hour_MAE,MAE_change_after_boundary_exclusion,original_RMSE,canonical_complete_hour_RMSE,original_sMAPE,canonical_complete_hour_sMAPE,original_R2,canonical_complete_hour_R2,original_Bias,canonical_complete_hour_Bias,canonical_sample_boundary_match
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2024.parquet,GRU,6,2024,12166,51,12115,0.9505013424021896,0.9474069252911551,-0.003094417111034531,1.537150595246842,1.5358037949679784,0.01249146080051974,0.012460828728233822,0.9906147625286699,0.9906367435538792,-0.05658384978761411,-0.0513851737267608,False
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2025.parquet,GRU,6,2025,12166,51,12115,0.902780271019372,0.900480216069995,-0.0023000549493770173,1.4639736841659376,1.4632624392228868,0.011912783307867677,0.011890851950931054,0.9914870717918075,0.9915003724613617,-0.028933833779305706,-0.025045359159273594,False
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed2026.parquet,GRU,6,2026,12166,51,12115,0.9282782982784373,0.9251582952948872,-0.0031200029835500853,1.558650568054961,1.5571098789405717,0.012236962373993672,0.012208956792725423,0.9903503856928366,0.9903751500961283,0.02521205446192177,0.0303687381783744,False
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed3407.parquet,GRU,6,3407,12166,51,12115,0.9442457480981674,0.940370678872153,-0.003875069226014438,1.4859898647246328,1.482931591393456,0.012250902746708852,0.012210628873203703,0.9912291006899252,0.9912703329528899,-0.10387116005286248,-0.09805145452596213,False
D:\2026_PD\outputs\locked\phase13_full\predictions\GRU_h6_seed42.parquet,GRU,6,42,12166,51,12115,1.036771294240906,1.0338269903204238,-0.002944303920482172,1.6349907896546962,1.6336769911178217,0.013483725610288587,0.013451791925187606,0.9893819919140201,0.9894053203304658,-0.3370809716533991,-0.33284716572684786,False
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2024.parquet,HA,1,2024,12265,0,12265,1.9087225491398945,1.9087225491398945,0.0,3.7858135633876104,3.7858135633876104,0.02804113092056691,0.02804113092056691,0.9441007833727223,0.9441007833727223,-0.18492207999526847,-0.18492207999526847,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2025.parquet,HA,1,2025,12265,0,12265,1.9087225491398945,1.9087225491398945,0.0,3.7858135633876104,3.7858135633876104,0.02804113092056691,0.02804113092056691,0.9441007833727223,0.9441007833727223,-0.18492207999526847,-0.18492207999526847,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed2026.parquet,HA,1,2026,12265,0,12265,1.9087225491398945,1.9087225491398945,0.0,3.7858135633876104,3.7858135633876104,0.02804113092056691,0.02804113092056691,0.9441007833727223,0.9441007833727223,-0.18492207999526847,-0.18492207999526847,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed3407.parquet,HA,1,3407,12265,0,12265,1.9087225491398945,1.9087225491398945,0.0,3.7858135633876104,3.7858135633876104,0.02804113092056691,0.02804113092056691,0.9441007833727223,0.9441007833727223,-0.18492207999526847,-0.18492207999526847,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h1_seed42.parquet,HA,1,42,12265,0,12265,1.9087225491398945,1.9087225491398945,0.0,3.7858135633876104,3.7858135633876104,0.02804113092056691,0.02804113092056691,0.9441007833727223,0.9441007833727223,-0.18492207999526847,-0.18492207999526847,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2024.parquet,HA,3,2024,11878,0,11878,1.7670076734430764,1.7670076734430764,0.0,3.2212536206255273,3.2212536206255273,0.025966849841149046,0.025966849841149046,0.9587883741583653,0.9587883741583653,-0.19807504848872678,-0.19807504848872678,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2025.parquet,HA,3,2025,11878,0,11878,1.7670076734430764,1.7670076734430764,0.0,3.2212536206255273,3.2212536206255273,0.025966849841149046,0.025966849841149046,0.9587883741583653,0.9587883741583653,-0.19807504848872678,-0.19807504848872678,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed2026.parquet,HA,3,2026,11878,0,11878,1.7670076734430764,1.7670076734430764,0.0,3.2212536206255273,3.2212536206255273,0.025966849841149046,0.025966849841149046,0.9587883741583653,0.9587883741583653,-0.19807504848872678,-0.19807504848872678,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed3407.parquet,HA,3,3407,11878,0,11878,1.7670076734430764,1.7670076734430764,0.0,3.2212536206255273,3.2212536206255273,0.025966849841149046,0.025966849841149046,0.9587883741583653,0.9587883741583653,-0.19807504848872678,-0.19807504848872678,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed42.parquet,HA,3,42,11878,0,11878,1.7670076734430764,1.7670076734430764,0.0,3.2212536206255273,3.2212536206255273,0.025966849841149046,0.025966849841149046,0.9587883741583653,0.9587883741583653,-0.19807504848872678,-0.19807504848872678,True
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2024.parquet,HA,6,2024,12166,51,12115,1.555868891613001,1.5567901894714633,0.0009212978584622888,2.78390590069934,2.7867880544518173,0.02290049678587965,0.022922850273950426,0.9692162492646328,0.9691707239864539,-0.1840234600006309,-0.18194514395430025,False
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2025.parquet,HA,6,2025,12166,51,12115,1.555868891613001,1.5567901894714633,0.0009212978584622888,2.78390590069934,2.7867880544518173,0.02290049678587965,0.022922850273950426,0.9692162492646328,0.9691707239864539,-0.1840234600006309,-0.18194514395430025,False
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2026.parquet,HA,6,2026,12166,51,12115,1.555868891613001,1.5567901894714633,0.0009212978584622888,2.78390590069934,2.7867880544518173,0.02290049678587965,0.022922850273950426,0.9692162492646328,0.9691707239864539,-0.1840234600006309,-0.18194514395430025,False
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed3407.parquet,HA,6,3407,12166,51,12115,1.555868891613001,1.5567901894714633,0.0009212978584622888,2.78390590069934,2.7867880544518173,0.02290049678587965,0.022922850273950426,0.9692162492646328,0.9691707239864539,-0.1840234600006309,-0.18194514395430025,False
D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed42.parquet,HA,6,42,12166,51,12115,1.555868891613001,1.5567901894714633,0.0009212978584622888,2.78390590069934,2.7867880544518173,0.02290049678587965,0.022922850273950426,0.9692162492646328,0.9691707239864539,-0.1840234600006309,-0.18194514395430025,False
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2024.parquet,Persistence,1,2024,12265,0,12265,1.0493704965733723,1.0493704965733723,0.0,3.1935336818078524,3.1935336818078524,0.014806317236428597,0.014806317236428597,0.960223160039433,0.960223160039433,-0.01680722833408709,-0.01680722833408709,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2025.parquet,Persistence,1,2025,12265,0,12265,1.0493704965733723,1.0493704965733723,0.0,3.1935336818078524,3.1935336818078524,0.014806317236428597,0.014806317236428597,0.960223160039433,0.960223160039433,-0.01680722833408709,-0.01680722833408709,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2026.parquet,Persistence,1,2026,12265,0,12265,1.0493704965733723,1.0493704965733723,0.0,3.1935336818078524,3.1935336818078524,0.014806317236428597,0.014806317236428597,0.960223160039433,0.960223160039433,-0.01680722833408709,-0.01680722833408709,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed3407.parquet,Persistence,1,3407,12265,0,12265,1.0493704965733723,1.0493704965733723,0.0,3.1935336818078524,3.1935336818078524,0.014806317236428597,0.014806317236428597,0.960223160039433,0.960223160039433,-0.01680722833408709,-0.01680722833408709,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed42.parquet,Persistence,1,42,12265,0,12265,1.0493704965733723,1.0493704965733723,0.0,3.1935336818078524,3.1935336818078524,0.014806317236428597,0.014806317236428597,0.960223160039433,0.960223160039433,-0.01680722833408709,-0.01680722833408709,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2024.parquet,Persistence,3,2024,11878,0,11878,1.3107006714026481,1.3107006714026481,0.0,3.2709789138092544,3.2709789138092544,0.018847127725616166,0.018847127725616166,0.9575062168034513,0.9575062168034513,-0.026414686550815452,-0.026414686550815452,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2025.parquet,Persistence,3,2025,11878,0,11878,1.3107006714026481,1.3107006714026481,0.0,3.2709789138092544,3.2709789138092544,0.018847127725616166,0.018847127725616166,0.9575062168034513,0.9575062168034513,-0.026414686550815452,-0.026414686550815452,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2026.parquet,Persistence,3,2026,11878,0,11878,1.3107006714026481,1.3107006714026481,0.0,3.2709789138092544,3.2709789138092544,0.018847127725616166,0.018847127725616166,0.9575062168034513,0.9575062168034513,-0.026414686550815452,-0.026414686550815452,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed3407.parquet,Persistence,3,3407,11878,0,11878,1.3107006714026481,1.3107006714026481,0.0,3.2709789138092544,3.2709789138092544,0.018847127725616166,0.018847127725616166,0.9575062168034513,0.9575062168034513,-0.026414686550815452,-0.026414686550815452,True
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed42.parquet,Persistence,3,42,11878,0,11878,1.3107006714026481,1.3107006714026481,0.0,3.2709789138092544,3.2709789138092544,0.018847127725616166,0.018847127725616166,0.9575062168034513,0.9575062168034513,-0.026414686550815452,-0.026414686550815452,True
