horizon,model,MAE_mean,MAE_std,RMSE_mean,R2_mean,seeds,MAE_rank
1,XGBoost,0.9735874663398454,0.008037494323705872,2.274291937753976,0.9798257778404228,5,1.0
1,GRU,1.0486453153452384,0.03782112191189526,2.434759519370221,0.97687573126872,5,2.0
1,Persistence,1.0493704965733723,0.0,3.1935336818078524,0.9602231582024853,5,3.0
1,ST-Transformer-lite,1.0666603402823174,0.05558716115838619,2.485440653081006,0.9758948273820561,5,4.0
1,TCN,1.1420006854262976,0.08781634797084073,2.444677328695186,0.9766795139010414,5,5.0
1,SeasonalHA,1.1484393823112802,0.0,2.689582231267182,0.9717865010089664,5,6.0
1,HA,1.9087225491398947,0.0,3.7858135633876095,0.944100780791222,5,7.0
3,XGBoost,0.868904347121866,0.005875650298624657,1.6541220214903674,0.9891330224040639,5,1.0
3,ST-Transformer-lite,0.984696414900621,0.03747317366512185,1.8441690260113153,0.9864846332909902,5,2.0
3,TCN,1.0113314772639779,0.03944625283948613,1.8210400676721625,0.9868274799842442,5,3.0
3,SeasonalHA,1.015958182557622,0.0,1.943902548137346,0.9849921353689324,5,4.0
3,GRU,1.0337125433276129,0.027484614035894618,1.847885289007077,0.9864264396201543,5,5.0
3,Persistence,1.310700671402648,0.0,3.2709789138092544,0.9575062151567643,5,6.0
3,HA,1.7670076734430764,0.0,3.221253620625528,0.9587883725613636,5,7.0
6,XGBoost,0.7866823530346082,0.002785074508068212,1.3505473244133788,0.9927550755937131,5,1.0
6,ST-Transformer-lite,0.9012858376227847,0.02233191497889866,1.5960166665197009,0.9898431448174774,5,2.0
6,SeasonalHA,0.9103676185940277,0.0,1.5415282255127518,0.9905612299841332,5,3.0
6,TCN,0.937764188574271,0.01731680532415306,1.526148261160258,0.9907468281794648,5,4.0
6,GRU,0.9525153908078143,0.05057795824146169,1.536151100369414,0.9906126622790188,5,5.0
6,HA,1.555868891613001,0.0,2.78390590069934,0.9692162484630671,5,6.0
6,Persistence,1.6025600083736964,0.0,3.6998692720239874,0.9456267614812417,5,7.0
