path,keywords,match_count,content_excerpt_copied
logs/P4_v2_2_parallel_run1/038_P4_gru_fold2_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/039_P4_gru_fold2_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/040_P4_gru_fold2_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/041_P4_gru_fold2_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/042_P4_gru_fold3_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/043_P4_gru_fold3_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/044_P4_gru_fold3_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/045_P4_gru_fold3_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/046_P4_gru_fold3_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/047_P4_gru_fold4_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/048_P4_gru_fold4_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/049_P4_gru_fold4_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/050_P4_gru_fold4_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/051_P4_gru_fold4_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/052_P4_tcn_fold1_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/053_P4_tcn_fold1_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/054_P4_tcn_fold1_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/055_P4_tcn_fold1_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/056_P4_tcn_fold1_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/057_P4_tcn_fold2_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/058_P4_tcn_fold2_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/059_P4_tcn_fold2_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/060_P4_tcn_fold2_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/061_P4_tcn_fold2_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/062_P4_tcn_fold3_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/063_P4_tcn_fold3_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/064_P4_tcn_fold3_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/065_P4_tcn_fold3_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/066_P4_tcn_fold3_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/067_P4_tcn_fold4_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/068_P4_tcn_fold4_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/069_P4_tcn_fold4_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/070_P4_tcn_fold4_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/071_P4_tcn_fold4_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/072_P4_st_transformer_lite_fold1_s42.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/073_P4_st_transformer_lite_fold1_s2025.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/074_P4_st_transformer_lite_fold1_s2026.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/075_P4_st_transformer_lite_fold1_s3407.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/076_P4_st_transformer_lite_fold1_s202607.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/077_P4_st_transformer_lite_fold2_s42.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/078_P4_st_transformer_lite_fold2_s2025.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/079_P4_st_transformer_lite_fold2_s2026.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/080_P4_st_transformer_lite_fold2_s3407.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/081_P4_st_transformer_lite_fold2_s202607.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/082_P4_st_transformer_lite_fold3_s42.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/083_P4_st_transformer_lite_fold3_s2025.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/084_P4_st_transformer_lite_fold3_s2026.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/085_P4_st_transformer_lite_fold3_s3407.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/086_P4_st_transformer_lite_fold3_s202607.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/087_P4_st_transformer_lite_fold4_s42.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/088_P4_st_transformer_lite_fold4_s2025.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/089_P4_st_transformer_lite_fold4_s2026.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/090_P4_st_transformer_lite_fold4_s3407.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/091_P4_st_transformer_lite_fold4_s202607.stderr.log,final_week,3,False
logs/P4_v2_2_parallel_run1/092_P4_crg_tcn_fold1_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/093_P4_crg_tcn_fold1_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/094_P4_crg_tcn_fold1_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/095_P4_crg_tcn_fold1_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/096_P4_crg_tcn_fold1_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/097_P4_crg_tcn_fold2_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/098_P4_crg_tcn_fold2_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/099_P4_crg_tcn_fold2_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/100_P4_crg_tcn_fold2_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/101_P4_crg_tcn_fold2_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/102_P4_crg_tcn_fold3_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/103_P4_crg_tcn_fold3_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/104_P4_crg_tcn_fold3_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/105_P4_crg_tcn_fold3_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/106_P4_crg_tcn_fold3_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/107_P4_crg_tcn_fold4_s42.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/108_P4_crg_tcn_fold4_s2025.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/109_P4_crg_tcn_fold4_s2026.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/110_P4_crg_tcn_fold4_s3407.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/111_P4_crg_tcn_fold4_s202607.stderr.log,final_week,1,False
logs/P4_v2_2_parallel_run1/launch_plan.json,final_week,1,False
logs/P4_v2_2_parallel_run1/summary.json,final_week,447,False
logs/P4_v2_2_parallel_run1_failed_launch_20260726T154422/launch_plan.json,final_week,1,False
logs/P5_v2_2_gpu_light_boost/01_P5B_A0_tcn_fold3_s42.stderr.log,final_week,1,False
logs/P5_v2_2_gpu_light_boost/02_P5B_A0_tcn_fold3_s2025.stderr.log,final_week,1,False
logs/P5_v2_2_gpu_light_boost/03_P5B_A0_tcn_fold3_s2026.stderr.log,final_week,1,False
