horizon,model,date,MAE
1,GRU,2026-02-18,3.504420280456543
1,GRU,2026-02-19,1.1019635200500488
1,GRU,2026-02-20,0.636738121509552
1,GRU,2026-02-21,0.708075761795044
1,GRU,2026-02-22,1.86215078830719
1,GRU,2026-02-23,0.8922637104988098
1,GRU,2026-02-24,0.8089734315872192
1,GRU,2026-02-25,1.1212270259857178
1,GRU,2026-02-26,1.2112845182418823
1,GRU,2026-02-27,1.0298171043395996
1,GRU,2026-02-28,0.7869353294372559
1,HA,2026-02-18,3.1707327365875244
1,HA,2026-02-19,1.6385509967803955
1,HA,2026-02-20,1.6992237567901611
1,HA,2026-02-21,1.5912595987319946
1,HA,2026-02-22,2.846534013748169
1,HA,2026-02-23,1.8605635166168213
1,HA,2026-02-24,1.703127145767212
1,HA,2026-02-25,1.7975660562515259
1,HA,2026-02-26,2.1099870204925537
1,HA,2026-02-27,2.059422492980957
1,HA,2026-02-28,1.6184818744659424
1,Persistence,2026-02-18,3.9147472381591797
1,Persistence,2026-02-19,0.7265866994857788
1,Persistence,2026-02-20,0.6870492696762085
1,Persistence,2026-02-21,0.6043015122413635
1,Persistence,2026-02-22,2.0700690746307373
1,Persistence,2026-02-23,0.9354344010353088
1,Persistence,2026-02-24,0.8597473502159119
1,Persistence,2026-02-25,1.1733782291412354
1,Persistence,2026-02-26,1.1456290483474731
1,Persistence,2026-02-27,1.2809525728225708
1,Persistence,2026-02-28,0.6258982419967651
1,ST-Transformer-lite,2026-02-18,3.736860990524292
1,ST-Transformer-lite,2026-02-19,0.9536377191543579
1,ST-Transformer-lite,2026-02-20,0.6777111291885376
1,ST-Transformer-lite,2026-02-21,0.7988789081573486
1,ST-Transformer-lite,2026-02-22,1.8805210590362549
1,ST-Transformer-lite,2026-02-23,0.8765714168548584
1,ST-Transformer-lite,2026-02-24,0.7957175970077515
1,ST-Transformer-lite,2026-02-25,1.2215795516967773
1,ST-Transformer-lite,2026-02-26,1.216138243675232
1,ST-Transformer-lite,2026-02-27,1.038712739944458
1,ST-Transformer-lite,2026-02-28,0.8456146121025085
1,SeasonalHA,2026-02-18,3.4134867191314697
1,SeasonalHA,2026-02-19,0.8431681990623474
1,SeasonalHA,2026-02-20,0.5618401169776917
1,SeasonalHA,2026-02-21,1.0897468328475952
1,SeasonalHA,2026-02-22,1.7696058750152588
1,SeasonalHA,2026-02-23,0.7404794692993164
1,SeasonalHA,2026-02-24,0.9185975193977356
1,SeasonalHA,2026-02-25,1.495776653289795
1,SeasonalHA,2026-02-26,1.5802520513534546
1,SeasonalHA,2026-02-27,1.0645345449447632
1,SeasonalHA,2026-02-28,1.0984268188476562
1,TCN,2026-02-18,3.1402719020843506
1,TCN,2026-02-19,0.9427469968795776
1,TCN,2026-02-20,0.7698900103569031
1,TCN,2026-02-21,0.8497052788734436
1,TCN,2026-02-22,1.9340240955352783
1,TCN,2026-02-23,1.0341659784317017
1,TCN,2026-02-24,0.9324412941932678
1,TCN,2026-02-25,1.2815988063812256
1,TCN,2026-02-26,1.3560582399368286
1,TCN,2026-02-27,1.1292130947113037
1,TCN,2026-02-28,0.9205511808395386
1,XGBoost,2026-02-18,3.3401100635528564
1,XGBoost,2026-02-19,1.3179765939712524
1,XGBoost,2026-02-20,0.4939803183078766
1,XGBoost,2026-02-21,0.7119826674461365
1,XGBoost,2026-02-22,1.55315101146698
1,XGBoost,2026-02-23,0.7565395832061768
1,XGBoost,2026-02-24,0.7421538829803467
1,XGBoost,2026-02-25,1.1947580575942993
1,XGBoost,2026-02-26,1.0597130060195923
1,XGBoost,2026-02-27,0.8407677412033081
1,XGBoost,2026-02-28,0.7495216131210327
3,GRU,2026-02-18,3.191897392272949
3,GRU,2026-02-19,1.389695167541504
3,GRU,2026-02-20,0.5259425044059753
3,GRU,2026-02-21,0.7813849449157715
3,GRU,2026-02-22,1.6326148509979248
3,GRU,2026-02-23,0.8065307140350342
3,GRU,2026-02-24,0.8302890062332153
3,GRU,2026-02-25,1.096874713897705
3,GRU,2026-02-26,1.2176603078842163
3,GRU,2026-02-27,0.9650918841362
3,GRU,2026-02-28,0.8194928765296936
3,HA,2026-02-18,2.457488775253296
3,HA,2026-02-19,1.5389913320541382
3,HA,2026-02-20,1.5876940488815308
3,HA,2026-02-21,1.5058337450027466
3,HA,2026-02-22,2.6802151203155518
3,HA,2026-02-23,1.7055835723876953
3,HA,2026-02-24,1.6442688703536987
3,HA,2026-02-25,1.5690492391586304
3,HA,2026-02-26,1.9429348707199097
3,HA,2026-02-27,1.945986032485962
3,HA,2026-02-28,1.469227910041809
3,Persistence,2026-02-18,4.245901584625244
3,Persistence,2026-02-19,0.986887514591217
3,Persistence,2026-02-20,0.8968891501426697
3,Persistence,2026-02-21,0.7654210329055786
3,Persistence,2026-02-22,2.5225391387939453
3,Persistence,2026-02-23,1.1671181917190552
3,Persistence,2026-02-24,1.2025198936462402
3,Persistence,2026-02-25,1.2318123579025269
3,Persistence,2026-02-26,1.4870188236236572
3,Persistence,2026-02-27,1.6001955270767212
3,Persistence,2026-02-28,0.8610875010490417
3,ST-Transformer-lite,2026-02-18,2.87793231010437
3,ST-Transformer-lite,2026-02-19,0.9897652268409729
3,ST-Transformer-lite,2026-02-20,0.5897314548492432
3,ST-Transformer-lite,2026-02-21,0.7683428525924683
3,ST-Transformer-lite,2026-02-22,1.6870776414871216
3,ST-Transformer-lite,2026-02-23,0.7541277408599854
3,ST-Transformer-lite,2026-02-24,0.7967419624328613
3,ST-Transformer-lite,2026-02-25,1.0735406875610352
3,ST-Transformer-lite,2026-02-26,1.185438871383667
3,ST-Transformer-lite,2026-02-27,0.9131942391395569
3,ST-Transformer-lite,2026-02-28,0.8447257876396179
3,SeasonalHA,2026-02-18,2.3160219192504883
3,SeasonalHA,2026-02-19,0.7079260945320129
3,SeasonalHA,2026-02-20,0.44295549392700195
3,SeasonalHA,2026-02-21,1.0422357320785522
3,SeasonalHA,2026-02-22,1.618931531906128
3,SeasonalHA,2026-02-23,0.6081499457359314
3,SeasonalHA,2026-02-24,0.8896034359931946
3,SeasonalHA,2026-02-25,1.372471570968628
3,SeasonalHA,2026-02-26,1.33772611618042
3,SeasonalHA,2026-02-27,0.9621703624725342
3,SeasonalHA,2026-02-28,0.9762618541717529
3,TCN,2026-02-18,2.435136556625366
3,TCN,2026-02-19,0.9106211066246033
3,TCN,2026-02-20,0.5853003859519958
3,TCN,2026-02-21,0.7727737426757812
3,TCN,2026-02-22,1.6705918312072754
3,TCN,2026-02-23,0.8198265433311462
3,TCN,2026-02-24,0.8889627456665039
3,TCN,2026-02-25,1.138068675994873
3,TCN,2026-02-26,1.2923996448516846
3,TCN,2026-02-27,0.9797546863555908
3,TCN,2026-02-28,0.8636850714683533
3,XGBoost,2026-02-18,1.5859029293060303
3,XGBoost,2026-02-19,0.9337601661682129
3,XGBoost,2026-02-20,0.3963266909122467
3,XGBoost,2026-02-21,0.7748624086380005
3,XGBoost,2026-02-22,1.4618736505508423
3,XGBoost,2026-02-23,0.6652134656906128
3,XGBoost,2026-02-24,0.7086410522460938
3,XGBoost,2026-02-25,1.1119804382324219
3,XGBoost,2026-02-26,1.0725599527359009
3,XGBoost,2026-02-27,0.7655346393585205
3,XGBoost,2026-02-28,0.7021349668502808
6,GRU,2026-02-18,3.001478433609009
6,GRU,2026-02-19,1.1632862091064453
6,GRU,2026-02-20,0.5211927890777588
6,GRU,2026-02-21,0.7955357432365417
6,GRU,2026-02-22,1.4973762035369873
6,GRU,2026-02-23,0.6840528845787048
6,GRU,2026-02-24,0.8602210283279419
6,GRU,2026-02-25,0.9552551507949829
6,GRU,2026-02-26,1.0312035083770752
6,GRU,2026-02-27,0.9378013014793396
6,GRU,2026-02-28,0.764579713344574
6,HA,2026-02-18,2.242785692214966
6,HA,2026-02-19,1.3554273843765259
6,HA,2026-02-20,1.398810863494873
6,HA,2026-02-21,1.3592164516448975
6,HA,2026-02-22,2.420427083969116
6,HA,2026-02-23,1.5072776079177856
6,HA,2026-02-24,1.4563937187194824
6,HA,2026-02-25,1.3064299821853638
6,HA,2026-02-26,1.6711937189102173
6,HA,2026-02-27,1.7401043176651
6,HA,2026-02-28,1.190091848373413
6,Persistence,2026-02-18,4.232621192932129
6,Persistence,2026-02-19,1.2702081203460693
6,Persistence,2026-02-20,1.2059879302978516
6,Persistence,2026-02-21,1.0450905561447144
6,Persistence,2026-02-22,2.8326594829559326
6,Persistence,2026-02-23,1.4414994716644287
6,Persistence,2026-02-24,1.5311168432235718
6,Persistence,2026-02-25,1.3801733255386353
6,Persistence,2026-02-26,1.7721267938613892
6,Persistence,2026-02-27,2.0309903621673584
6,Persistence,2026-02-28,1.059472918510437
6,ST-Transformer-lite,2026-02-18,2.439520835876465
6,ST-Transformer-lite,2026-02-19,1.0118037462234497
6,ST-Transformer-lite,2026-02-20,0.5207532644271851
6,ST-Transformer-lite,2026-02-21,0.8019447326660156
6,ST-Transformer-lite,2026-02-22,1.5192205905914307
6,ST-Transformer-lite,2026-02-23,0.5523616671562195
6,ST-Transformer-lite,2026-02-24,0.8212268948554993
6,ST-Transformer-lite,2026-02-25,0.9670294523239136
6,ST-Transformer-lite,2026-02-26,0.9649466872215271
6,ST-Transformer-lite,2026-02-27,0.8143656253814697
6,ST-Transformer-lite,2026-02-28,0.8125588297843933
6,SeasonalHA,2026-02-18,1.5299620628356934
6,SeasonalHA,2026-02-19,0.5589374303817749
6,SeasonalHA,2026-02-20,0.38970133662223816
6,SeasonalHA,2026-02-21,1.0200228691101074
6,SeasonalHA,2026-02-22,1.5306514501571655
6,SeasonalHA,2026-02-23,0.4917665421962738
6,SeasonalHA,2026-02-24,0.8494723439216614
6,SeasonalHA,2026-02-25,1.2745872735977173
6,SeasonalHA,2026-02-26,1.0816304683685303
6,SeasonalHA,2026-02-27,0.9101922512054443
6,SeasonalHA,2026-02-28,0.9059269428253174
6,TCN,2026-02-18,1.714983344078064
6,TCN,2026-02-19,0.8516082167625427
6,TCN,2026-02-20,0.5192438960075378
6,TCN,2026-02-21,0.8072261810302734
6,TCN,2026-02-22,1.4939881563186646
6,TCN,2026-02-23,0.6961551308631897
6,TCN,2026-02-24,0.8785629272460938
6,TCN,2026-02-25,1.0396744012832642
6,TCN,2026-02-26,1.157690167427063
6,TCN,2026-02-27,0.9896588325500488
6,TCN,2026-02-28,0.814921498298645
6,XGBoost,2026-02-18,1.115713119506836
6,XGBoost,2026-02-19,0.6553411483764648
6,XGBoost,2026-02-20,0.34984898567199707
6,XGBoost,2026-02-21,0.8689781427383423
6,XGBoost,2026-02-22,1.3841081857681274
6,XGBoost,2026-02-23,0.5332112312316895
6,XGBoost,2026-02-24,0.7250344753265381
6,XGBoost,2026-02-25,1.0522061586380005
6,XGBoost,2026-02-26,0.827768862247467
6,XGBoost,2026-02-27,0.700901985168457
6,XGBoost,2026-02-28,0.7111855149269104
